ID_RECORD;date_time;latitude;longitude;cluster
1;2014-02-01 00:00:00.739166;41.8836718276551;12.4877775603346;-1
2;2014-02-01 00:00:01.148457;41.928543333333295;12.469036666666698;-1
3;2014-02-01 00:00:01.220066;41.891068611973296;12.4927045625339;-1
4;2014-02-01 00:00:01.470854;41.7931766914244;12.4321219603157;-1
5;2014-02-01 00:00:01.631136;41.90027472;12.46274618;-1
6;2014-02-01 00:00:02.048546;41.8523047579646;12.577406577189802;-1
7;2014-02-01 00:00:02.647839;41.892171825518496;12.4696996165151;-1
8;2014-02-01 00:00:02.709888;41.9102125627332;12.4770004336041;-1
9;2014-02-01 00:00:03.458195;41.8658208551143;12.465522110931301;-1
10;2014-02-01 00:00:03.707117;41.896783163684795;12.4821987021152;-1
11;2014-02-01 00:00:04.232912;41.9230874882779;12.502203541278;-1
12;2014-02-01 00:00:04.436445;41.9068137897371;12.4902083997946;-1
13;2014-02-01 00:00:04.487352;41.91005082272579;12.4966092132391;-1
14;2014-02-01 00:00:05.182068;41.9175592169096;12.5132735176741;-1
15;2014-02-01 00:00:05.429831;41.8922298239912;12.469779213474;-1
16;2014-02-01 00:00:06.066720;41.8971435606299;12.4729530904655;1
17;2014-02-01 00:00:06.362172;41.9055040692911;12.4450642615557;-1
18;2014-02-01 00:00:06.508353;41.9101993407516;12.477001646673902;-1
19;2014-02-01 00:00:06.830676;41.9219318791848;12.490789887358101;-1
20;2014-02-01 00:00:07.028304;41.9198850823211;12.5027184760708;-1
21;2014-02-01 00:00:07.040664;41.8978325324133;12.469394747167803;1
22;2014-02-01 00:00:07.122411;41.9226663915447;12.4871261442344;-1
23;2014-02-01 00:00:07.311678;41.922472603619106;12.487366637214999;-1
24;2014-02-01 00:00:07.629026;41.89724661;12.47285113;1
25;2014-02-01 00:00:07.774661;41.8832317105311;12.4692101233239;-1
26;2014-02-01 00:00:07.820636;41.9219318791848;12.490789887358101;-1
27;2014-02-01 00:00:08.452163;41.9004122222972;12.472836865927801;1
28;2014-02-01 00:00:08.646102;41.8904533333333;12.474196666666698;1
29;2014-02-01 00:00:09.135615;41.8957895596184;12.471920420915302;1
30;2014-02-01 00:00:09.207596;41.884861232788;12.470642809741001;-1
31;2014-02-01 00:00:09.534952;41.893797484226496;12.4703800398856;1
32;2014-02-01 00:00:09.889075;41.9038292750994;12.484451712539402;-1
33;2014-02-01 00:00:10.098237;41.900065357512005;12.4572887201218;-1
34;2014-02-01 00:00:10.168741;41.908130099470604;12.504366898719098;-1
35;2014-02-01 00:00:10.198107;41.933189951603104;12.511784704856801;-1
36;2014-02-01 00:00:10.709166;41.8959019919821;12.476881887377901;1
37;2014-02-01 00:00:10.733119;41.8552883890016;12.4771413579851;-1
38;2014-02-01 00:00:10.855133;41.7915396179775;12.250286204060199;-1
39;2014-02-01 00:00:11.214262;41.897783275213;12.469331206656301;1
40;2014-02-01 00:00:11.336365;41.8345933772036;12.4716641521793;-1
41;2014-02-01 00:00:11.862900;41.895907684840495;12.4827594572545;-1
42;2014-02-01 00:00:12.098922;41.910908839878296;12.4772815796834;-1
43;2014-02-01 00:00:12.236140;41.8912020048345;12.502547962734699;-1
44;2014-02-01 00:00:12.341827;41.9246361238323;12.4862287031811;-1
45;2014-02-01 00:00:12.578331;41.897841892503294;12.468420408626699;1
46;2014-02-01 00:00:12.880149;41.96531436;12.45640665;-1
47;2014-02-01 00:00:12.926514;41.921767916889;12.4850695093216;-1
48;2014-02-01 00:00:13.311114;41.8898128219691;12.474507040669101;1
49;2014-02-01 00:00:13.400034;41.9003116666667;12.472738333333302;1
50;2014-02-01 00:00:13.406692;41.857382669784;12.491181180781;-1
51;2014-02-01 00:00:13.447509;41.8938279471136;12.4758196948506;1
52;2014-02-01 00:00:13.520508;41.9286143581594;12.4773909315309;-1
53;2014-02-01 00:00:13.851515;41.897221954927204;12.4727742184704;1
54;2014-02-01 00:00:16.002329;41.7950459730928;12.4349096543292;-1
55;2014-02-01 00:00:16.117597;41.90028989;12.462724;-1
56;2014-02-01 00:00:16.154119;41.92676166666671;12.469763333333301;-1
57;2014-02-01 00:00:16.209002;41.8912969309336;12.4909423655086;-1
58;2014-02-01 00:00:16.475794;41.8836033504296;12.488435382729499;-1
59;2014-02-01 00:00:17.054210;41.8526620389391;12.5778460793785;-1
60;2014-02-01 00:00:18.010402;41.8650747304238;12.4650680095904;-1
61;2014-02-01 00:00:19.152635;41.8921911088577;12.4697191103714;1
62;2014-02-01 00:00:19.412508;41.8981761491255;12.481551239124801;-1
63;2014-02-01 00:00:19.474202;41.91005082272579;12.4966092132391;-1
64;2014-02-01 00:00:19.503511;41.921826108945204;12.5009061654808;-1
65;2014-02-01 00:00:19.765361;41.9068137897371;12.4902083997946;-1
66;2014-02-01 00:00:19.833126;41.84065284169;12.591993021364901;-1
67;2014-02-01 00:00:20.138366;41.9174146914442;12.513083602414;-1
68;2014-02-01 00:00:20.432610;41.8922298239912;12.469779213474;1
69;2014-02-01 00:00:20.926085;41.9101993407516;12.477001646673902;-1
70;2014-02-01 00:00:21.033058;41.8971435606299;12.4729530904655;1
71;2014-02-01 00:00:21.101901;41.919735516421596;12.5026134891681;-1
72;2014-02-01 00:00:21.475210;41.9226663915447;12.4871261442344;-1
73;2014-02-01 00:00:21.975626;41.8978325324133;12.469394747167803;1
74;2014-02-01 00:00:22.484333;41.88406192649521;12.469887327246498;-1
75;2014-02-01 00:00:22.747757;41.8446062529282;12.594157757010601;-1
76;2014-02-01 00:00:22.748400;41.8446062529282;12.594157757010601;-1
